Edge TPU Compiler version 16.0.384591198
Input: face_detection_yunet_2023mar_int8.tflite
Output: face_detection_yunet_2023mar_int8_edgetpu.tflite

Operator                       Count      Status

RESHAPE                        12         Mapped to Edge TPU
MAX_POOL_2D                    4          Mapped to Edge TPU
ADD                            2          Mapped to Edge TPU
LOGISTIC                       6          Mapped to Edge TPU
CONV_2D                        33         Mapped to Edge TPU
QUANTIZE                       13         Mapped to Edge TPU
RESIZE_NEAREST_NEIGHBOR        2          Mapped to Edge TPU
DEPTHWISE_CONV_2D              20         Mapped to Edge TPU
PAD                            1          Mapped to Edge TPU
