Edge TPU Compiler version 16.0.384591198
Input: yunet_full_integer_quant.tflite
Output: yunet_full_integer_quant_edgetpu.tflite

Operator                       Count      Status

QUANTIZE                       8          Mapped to Edge TPU
SOFTMAX                        1          Mapped to Edge TPU
CONV_2D                        22         Mapped to Edge TPU
DEPTHWISE_CONV_2D              21         Mapped to Edge TPU
SLICE                          3          Mapped to Edge TPU
RESHAPE                        8          Mapped to Edge TPU
PAD                            22         Mapped to Edge TPU
CONCATENATION                  1          Mapped to Edge TPU
MAX_POOL_2D                    5          Mapped to Edge TPU
