Edge TPU Compiler version 16.0.384591198
Input: yunet_integer_quant.tflite
Output: yunet_integer_quant_edgetpu.tflite

Operator                       Count      Status

MAX_POOL_2D                    5          Mapped to Edge TPU
QUANTIZE                       1          Operation is otherwise supported, but not mapped due to some unspecified limitation
QUANTIZE                       4          Mapped to Edge TPU
CONV_2D                        22         Mapped to Edge TPU
DEQUANTIZE                     3          Operation is working on an unsupported data type
SLICE                          3          Mapped to Edge TPU
DEPTHWISE_CONV_2D              21         Mapped to Edge TPU
PAD                            22         Mapped to Edge TPU
CONCATENATION                  1          Mapped to Edge TPU
SOFTMAX                        1          Mapped to Edge TPU
RESHAPE                        8          Mapped to Edge TPU
